Type,Study,Site,Depth,Depth type,Age (Ma),Age Frame,Age (Ma relative to K-Pg),d18O,Temperature (deg C),?Temperature
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.25,mcd,66.5661,D.-T. et al. 2014,-0.5441,0.114,8.89,-0.5
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.28,mcd,66.5676,D.-T. et al. 2014,-0.5456,0.089,9,-0.39
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.31,mcd,66.5691,D.-T. et al. 2014,-0.5471,-0.114,9.9,0.51
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.37,mcd,66.5722,D.-T. et al. 2014,-0.5502,-0.106,9.87,0.47
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.4,mcd,66.5737,D.-T. et al. 2014,-0.5517,-0.021,9.49,0.09
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.43,mcd,66.5752,D.-T. et al. 2014,-0.5532,-0.304,10.75,1.35
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.46,mcd,66.5768,D.-T. et al. 2014,-0.5548,-0.027,9.52,0.12
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.49,mcd,66.5783,D.-T. et al. 2014,-0.5563,0.054,9.16,-0.24
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.52,mcd,66.5798,D.-T. et al. 2014,-0.5578,0.025,9.28,-0.11
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.55,mcd,66.5813,D.-T. et al. 2014,-0.5593,-0.282,10.65,1.26
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.58,mcd,66.5828,D.-T. et al. 2014,-0.5608,-0.286,10.67,1.27
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.61,mcd,66.5844,D.-T. et al. 2014,-0.5624,-0.471,11.5,2.1
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.64,mcd,66.5859,D.-T. et al. 2014,-0.5639,-0.396,11.16,1.77
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.67,mcd,66.5874,D.-T. et al. 2014,-0.5654,-0.334,10.88,1.48
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.7,mcd,66.5889,D.-T. et al. 2014,-0.5669,-0.132,9.98,0.58
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.73,mcd,66.5904,D.-T. et al. 2014,-0.5684,-0.307,10.76,1.37
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.76,mcd,66.592,D.-T. et al. 2014,-0.57,-0.256,10.53,1.14
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.79,mcd,66.5935,D.-T. et al. 2014,-0.5715,-0.317,10.81,1.41
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.82,mcd,66.595,D.-T. et al. 2014,-0.573,-0.274,10.61,1.22
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.85,mcd,66.5965,D.-T. et al. 2014,-0.5745,-0.227,10.41,1.01
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.88,mcd,66.5981,D.-T. et al. 2014,-0.5761,-0.074,9.73,0.33
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.91,mcd,66.5996,D.-T. et al. 2014,-0.5776,-0.258,10.54,1.15
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.94,mcd,66.6011,D.-T. et al. 2014,-0.5791,-0.166,10.13,0.74
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,227.97,mcd,66.6026,D.-T. et al. 2014,-0.5806,-0.175,10.17,0.78
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228,mcd,66.6041,D.-T. et al. 2014,-0.5821,-0.192,10.25,0.85
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.03,mcd,66.6057,D.-T. et al. 2014,-0.5837,0.077,9.06,-0.34
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.06,mcd,66.6072,D.-T. et al. 2014,-0.5852,-0.061,9.66,0.27
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.09,mcd,66.6087,D.-T. et al. 2014,-0.5867,-0.187,10.22,0.83
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.12,mcd,66.6102,D.-T. et al. 2014,-0.5882,-0.137,10.01,0.61
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.15,mcd,66.6117,D.-T. et al. 2014,-0.5897,-0.044,9.59,0.2
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.19,mcd,66.6138,D.-T. et al. 2014,-0.5918,-0.172,10.16,0.76
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.22,mcd,66.6153,D.-T. et al. 2014,-0.5933,-0.091,9.8,0.4
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.25,mcd,66.6168,D.-T. et al. 2014,-0.5948,-0.17,10.15,0.76
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.28,mcd,66.6183,D.-T. et al. 2014,-0.5963,0.011,9.35,-0.05
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.31,mcd,66.6199,D.-T. et al. 2014,-0.5979,-0.033,9.54,0.15
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.34,mcd,66.6214,D.-T. et al. 2014,-0.5994,-0.096,9.82,0.43
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.37,mcd,66.6229,D.-T. et al. 2014,-0.6009,-0.249,10.5,1.11
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.4,mcd,66.6244,D.-T. et al. 2014,-0.6024,-0.117,9.91,0.52
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.43,mcd,66.6259,D.-T. et al. 2014,-0.6039,-0.047,9.6,0.21
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.46,mcd,66.6275,D.-T. et al. 2014,-0.6055,-0.202,10.29,0.9
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.49,mcd,66.629,D.-T. et al. 2014,-0.607,-0.004,9.41,0.02
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.52,mcd,66.6305,D.-T. et al. 2014,-0.6085,0.011,9.35,-0.05
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.55,mcd,66.6321,D.-T. et al. 2014,-0.6101,-0.088,9.79,0.39
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.58,mcd,66.6337,D.-T. et al. 2014,-0.6117,-0.324,10.84,1.44
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.61,mcd,66.6353,D.-T. et al. 2014,-0.6133,-0.248,10.5,1.1
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.64,mcd,66.6369,D.-T. et al. 2014,-0.6149,-0.546,11.83,2.44
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,228.67,mcd,66.6385,D.-T. et al. 2014,-0.6165,-0.227,10.4,1.01
